OBJECTID,KHETNAME,KHETCODE,SROKCODE,KHUMCODE,KHUMNAME,SROKNAME,Perimet,Area,Ha,headwork,history,health,irripro,pagoda,school,canal,building,FAM19,MAL19,FEM19,FAM17,MAL17,FEM17,vilage_n,settel_h,orchard,crop,paddy_h,urban_h,srok,khum,khet,para,area_1,hect,lat,long,lat1,long1
"853",Kampong Chhnang,"04","0405","040505",Longveaek,Kampong Tralach,34118.356159,49334002.317500,4933.400232,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.400000,0.000000,13.680000,984.680000,14.890000,Kampong Tralach,Longveaek,Kampong Chhnang,34118.356,49334002.318,4933.400,11.870000,104.7420,12.550,104.610
"882",Kampong Chhnang,"04","0405","040504",Kampong Tralach,Kampong Tralach,33768.533332,37803297.618600,3780.329762,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,758.000000,1468.000000,3136.000000,3714.000000,1471.000000,3072.000000,3681.000000,6.000000,219.900000,0.000000,13.680000,2166.080000,224.000000,Kampong Tralach,Kampong Tralach,Kampong Chhnang,33768.533,37803297.619,3780.330,11.926000,104.7830,12.550,104.610
"899",Kampong Chhnang,"04","0405","040503",Chres,Kampong Tralach,32553.397051,37456932.123300,3745.693212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.850000,350.410000,1.000000,Kampong Tralach,Chres,Kampong Chhnang,32553.397,37456932.123,3745.693,11.963000,104.7610,12.550,104.610
"926",Kampong Chhnang,"04","0405","040509",Ta Ches,Kampong Tralach,36975.193877,52798334.410000,5279.833441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1532.680000,93.000000,1602.000000,3632.000000,3898.000000,1694.000000,3485.000000,3747.000000,5.000000,565.340000,0.000000,250.970000,373.360000,20.620000,Kampong Tralach,Ta Ches,Kampong Chhnang,36975.194,52798334.410,5279.833,12.020000,104.7470,12.550,104.610
"934",Kampong Chhnang,"04","0405","040501",Ampil Tuek,Kampong Tralach,69792.395584,109460844.324000,10946.084432,0.000000,0.000000,1.000000,0.000000,3.000000,11.000000,0.000000,1961.000000,2706.000000,6083.000000,6608.000000,2653.000000,6095.000000,6492.000000,11.000000,328.660000,5.050000,2644.890000,5383.640000,685.610000,Kampong Tralach,Ampil Tuek,Kampong Chhnang,69792.396,109460844.324,10946.084,11.995000,104.8400,12.550,104.610
"940",Kampong Chhnang,"04","0405","040508",Saeb,Kampong Tralach,27974.800135,28307903.781500,2830.790378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2933.560000,335.000000,303.000000,773.000000,758.000000,328.000000,663.000000,680.000000,1.000000,0.000000,0.000000,284.530000,36.950000,8.500000,Kampong Tralach,Saeb,Kampong Chhnang,27974.800,28307903.782,2830.790,12.062000,104.7290,12.550,104.610
"956",Kampong Chhnang,"04","0406","040613",Tuek Hout,Rolea B'ier,40053.121062,57657836.306700,5765.783631,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,1497.990000,353.000000,915.000000,2076.000000,2090.000000,863.000000,2054.000000,2042.000000,3.000000,106.570000,0.000000,605.270000,44.200000,40.990000,Rolea B'ier,Tuek Hout,Kampong Chhnang,40053.121,57657836.307,5765.784,12.097000,104.7190,12.550,104.610
"964",Kampong Chhnang,"04","0402","040202",Kaoh Thkov,Chol Kiri,50012.120279,112624233.843000,11262.423384,0.000000,0.000000,1.000000,0.000000,1.000000,8.000000,0.000000,1764.000000,2135.000000,5157.000000,5412.000000,2072.000000,5156.000000,5381.000000,10.000000,122.750000,0.000000,7573.320000,0.000000,373.120000,Chol Kiri,Kaoh Thkov,Kampong Chhnang,50012.120,112624233.843,11262.423,12.085000,104.8090,12.550,104.610
"981",Kampong Chhnang,"04","0402","040201",Chol Sar,Chol Kiri,38991.262625,36975797.775700,3697.579778,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,643.000000,1221.000000,2762.000000,2821.000000,1213.000000,2739.000000,2812.000000,5.000000,0.000000,0.000000,2616.420000,0.000000,63.720000,Chol Kiri,Chol Sar,Kampong Chhnang,38991.263,36975797.776,3697.580,12.134000,104.8500,12.550,104.610
"985",Kampong Chhnang,"04","0402","040205",Prey Kri,Chol Kiri,30581.821316,42593390.787300,4259.339079,0.000000,0.000000,1.000000,0.000000,2.000000,7.000000,0.000000,2217.000000,1356.000000,2758.000000,2913.000000,1339.000000,2699.000000,2755.000000,3.000000,123.040000,0.000000,2051.060000,1427.490000,193.710000,Chol Kiri,Prey Kri,Kampong Chhnang,30581.821,42593390.787,4259.339,12.171000,104.8750,12.550,104.610
